sav,val,W,P,W_minus_P,mean_vrr,std_vrr,site
b_13_3,0.8450499168053245,13,3,10,0.09301200360530053,0.04752888600883861,Sagvar
b_13_4,0.8735440931780366,13,4,9,0.039547671952096256,0.02435808918980821,Sagvar
b_13_5,0.8735440931780366,13,5,8,0.03954767195211376,0.02435808918980829,Sagvar
b_13_6,0.8660565723793677,13,6,7,0.01358963048029653,0.009524895901336672,Sagvar
b_13_7,0.8660565723793677,13,7,6,0.013589630480192664,0.009524895901294397,Sagvar
b_13_8,0.8733361064891847,13,8,5,0.0034716411661216795,0.002633702434841756,Sagvar
b_13_9,0.8733361064891847,13,9,4,0.0034716411563887883,0.002633702429421024,Sagvar
b_15_1,0.8383943427620633,15,1,14,0.19285106334483348,0.06862981316595024,Sagvar
b_15_10,0.8741680532445923,15,10,5,0.002060089284564362,0.0018378780816084156,Sagvar
b_15_11,0.8741680532445923,15,11,4,0.0020600892716579325,0.0018378780946781805,Sagvar
b_15_12,0.8729201331114809,15,12,3,-0.0009196010751830669,0.0018091441480375065,Sagvar
b_15_13,0.8729201331114809,15,13,2,-0.0009197714128100097,0.0018091646121124862,Sagvar
b_15_2,0.8259151414309485,15,2,13,0.11469870218750672,0.05581979151837925,Sagvar
b_15_3,0.8259151414309485,15,3,12,0.11469870218750675,0.055819791518379264,Sagvar
b_15_4,0.8618968386023295,15,4,11,0.05700430674104932,0.033485718976262825,Sagvar
b_15_5,0.8618968386023295,15,5,10,0.05700430674104537,0.033485718976262735,Sagvar
b_15_6,0.8810316139767055,15,6,9,0.024631835075087136,0.016412977899602665,Sagvar
b_15_7,0.8810316139767055,15,7,8,0.024631835074997343,0.016412977899537835,Sagvar
b_15_8,0.8631447587354409,15,8,7,0.008647233037812696,0.006459107782373032,Sagvar
b_15_9,0.8631447587354409,15,9,6,0.008647233018579012,0.0064591077724196755,Sagvar
b_17_1,0.8298668885191348,17,1,16,0.20318776157323165,0.07082764891941253,Sagvar
b_17_10,0.8618968386023295,17,10,7,0.005715154857905393,0.0047727094820293765,Sagvar
b_17_11,0.8618968386023295,17,11,6,0.005715155918584128,0.0047727085300440725,Sagvar
b_17_12,0.8766638935108153,17,12,5,0.0013260230215651923,0.0013273064912025774,Sagvar
b_17_13,0.8762479201331115,17,13,4,0.0013251747884347942,0.0013270129092243486,Sagvar
b_17_14,0.8712562396006656,17,14,3,-0.00109749959006632,0.0017712458483110244,Sagvar
b_17_15,0.8722961730449251,17,15,2,-0.0013026925099284851,0.0018211555384637288,Sagvar
b_17_2,0.8290349417637272,17,2,15,0.13434175049995561,0.06252135565584419,Sagvar
b_17_3,0.8290349417637272,17,3,14,0.13434175049995564,0.06252135565584417,Sagvar
b_17_4,0.8446339434276207,17,4,13,0.07415613537765756,0.041952686026198324,Sagvar
b_17_5,0.8446339434276207,17,5,12,0.07415613537767454,0.04195268602619736,Sagvar
b_17_6,0.8737520798668885,17,6,11,0.03732061693420272,0.023667559050557962,Sagvar
b_17_7,0.8737520798668885,17,7,10,0.03732061693378534,0.023667559050434123,Sagvar
b_17_8,0.8735440931780366,17,8,9,0.01641190391563731,0.01155829176585629,Sagvar
b_17_9,0.8735440931780366,17,9,8,0.016411904056500008,0.011558291825793206,Sagvar
b_19_1,0.8440099833610649,19,1,18,0.21039523120598128,0.07268059917505741,Sagvar
b_19_10,0.8685524126455907,19,10,9,0.011504915089915004,0.008599255537043242,Sagvar
b_19_11,0.8685524126455907,19,11,8,0.01150487682525783,0.008599238779254387,Sagvar
b_19_12,0.8587770382695508,19,12,7,0.003842664324368834,0.00370419459663228,Sagvar
b_19_13,0.8591930116472546,19,13,6,0.003838394892821614,0.003702644038545302,Sagvar
b_19_14,0.8747920133111481,19,14,5,0.000909837382758918,0.0009955225459536113,Sagvar
b_19_15,0.8770798668885191,19,15,4,0.001635267266445432,0.001321600948343329,Sagvar
b_19_2,0.8207154742096506,19,2,17,0.15102334026407874,0.067253088441732,Sagvar
b_19_3,0.8207154742096506,19,3,16,0.15102334026407865,0.06725308844173197,Sagvar
b_19_4,0.8334026622296173,19,4,15,0.09154429394186639,0.04988462843042411,Sagvar
